MISSION ELAPSED TIME (min),dist
0,
8.236480545,1654.734677
9.236480545,2148.622243
10.23648055,2639.667014
11.23648055,3127.663222
12.23648055,3612.42882
13.23648055,4093.805515
14.23648055,4571.658483
15.23648055,5045.875815
16.23648055,5516.367717
17.23648055,5983.065535
18.23648055,6445.920622
19.23648055,6904.903131
20.23648055,7360.000732
21.23648055,7811.217329
22.23648055,8258.571775
23.23648055,8702.096624
24.23648055,9141.836934
25.23648055,9577.849112
26.23648055,10010.19985
27.23648055,10438.9651
28.23648055,10864.22915
29.23648055,11286.08378
30.23648055,11704.62741
31.23648055,12119.96444
32.23648055,12532.20455
33.23648055,12941.46213
34.23648055,13347.85573
35.23648055,13751.50758
36.23648055,14152.54314
37.23648055,14551.09075
38.23648055,14947.28126
39.23648055,15341.24773
40.23648055,15733.12514
41.23648055,16123.0502
42.23648055,16511.16106
43.23648055,16897.59718
44.23648055,17282.49912
45.23648055,17666.00844
46.23648055,18048.26751
47.23648055,18583.08803
48.63913203,18965.58795
49.63913203,19347.3111
50.63913203,19728.38931
51.63913203,20108.95479
52.63913203,20489.1401
53.63913203,20869.07802
54.63913203,21248.90151
55.63913203,21628.74359
56.63913203,22008.73728
57.63913203,22389.01554
58.63913203,22769.7112
59.63913203,23150.95682
60.63913203,23532.88468
61.63913203,23915.62666
62.63913203,24299.31413
63.63913203,24684.07789
64.63913203,25070.04804
65.63913203,25457.35385
66.63913203,25846.12366
67.63913203,26236.48471
68.63913203,26628.56298
69.63913203,27022.48307
70.63913203,27418.36791
71.63913203,27816.33861
72.63913203,28216.51422
73.63913203,28619.01142
74.63913203,29023.94425
75.63913203,29431.42376
76.63913203,29841.55768
77.63913203,30254.44995
78.63913203,30670.20033
79.63913203,31088.90385
80.63913203,31510.65033
81.63913203,31935.52373
82.63913203,32363.60152
83.63913203,32794.95399
84.63913203,33229.64348
85.63913203,33667.72358
86.63913203,34109.23824
87.63913203,34554.22089
88.63913203,35002.69347
89.63913203,35454.66546
90.63913203,35910.13285
91.63913203,36369.07715
92.63913203,36831.46441
93.63913203,37297.24422
94.63913203,37766.34891
95.63913203,38238.69264
96.63913203,38714.17081
97.63913203,39192.65951
98.63913203,39674.01516
99.63913203,39900.7921
100.1082326,40389.0055
101.1082326,40885.95566
102.1082326,41391.91705
103.1082326,41907.03363
104.1082326,42431.30802
105.1082326,42964.59287
106.1082326,43506.58552
107.1082326,44056.827
108.1082326,44614.70658
109.1082326,45179.47252
110.1082326,45750.24921
111.1082326,46326.06035
112.1082326,46905.85672
113.1082326,47488.5463
114.1082326,48073.02424
115.1082326,48658.19955
116.1082326,49243.01609
117.1082326,49818.44796
118.094466,50396.09139
119.094466,50964.08676
120.094466,51522.45701
121.094466,52071.30028
122.094466,52610.77216
123.094466,53141.07069
124.094466,53662.42407
125.094466,54175.08069
126.094466,54679.30137
127.094466,55175.35319
128.094466,55663.50484
129.094466,56144.02311
130.094466,56617.17032
131.094466,57083.20244
132.094466,57542.3678
133.094466,57994.90626
134.094466,58441.04869
135.094466,58881.0167
136.094466,59315.02258
137.094466,59743.26942
138.094466,60165.9512
139.094466,60583.25312
140.094466,60995.35186
